Time (milliseconds),Speed (RPM),Filtered Speed (RPM)
0.42,0.00,0.00
6.27,0.00,0.00
22.91,541.00,39.38
43.71,576.81,115.01
65.56,824.02,200.20
87.39,961.71,300.97
109.23,686.81,377.04
132.12,917.67,438.80
154.99,786.85,498.83
177.87,786.71,540.55
200.75,524.48,557.09
223.63,655.59,561.66
246.51,786.71,584.66
269.39,655.59,604.30
292.27,786.71,621.07
315.15,917.83,654.49
338.03,655.59,673.48
360.91,917.83,689.69
383.79,655.59,703.54
406.67,786.85,705.84
429.55,262.19,679.15
452.43,262.24,618.18
475.31,0.00,547.01
496.11,288.46,488.15
518.99,524.57,476.07
541.87,786.58,502.01
564.75,786.71,543.26
587.63,917.83,588.03
610.51,917.99,635.83
633.39,917.67,676.63
656.27,917.99,711.48
679.15,786.71,731.71
702.03,655.48,729.87
724.91,524.48,709.21
747.79,131.12,653.39
770.67,0.00,567.54
791.47,144.23,495.18
814.35,262.24,452.48
837.23,655.59,453.23
860.11,1049.13,511.16
884.03,626.99,558.56
906.91,917.99,589.48
929.80,1179.25,656.10
953.71,878.37,710.10
976.59,917.99,737.20
999.47,524.38,734.57
1022.35,524.48,703.68
1046.27,250.84,657.39
1070.19,125.42,588.80
1094.11,125.42,521.10
1118.03,376.32,481.54
1141.95,626.99,484.28
1165.87,752.51,514.00
1189.79,752.51,548.52
1213.71,1003.34,596.26
1238.67,841.48,643.51
1262.61,501.17,647.30
1286.51,878.66,653.25
1310.43,627.09,667.49
1334.35,627.20,661.35
1358.27,376.19,637.84
1382.19,250.84,590.36
1406.11,250.84,540.69
1430.03,376.25,507.40
1453.95,627.09,506.37
1477.87,877.93,542.00
1501.79,877.93,590.70
1525.71,752.51,623.15
1549.63,1003.34,660.00
1574.59,961.54,706.68
1598.51,752.63,728.30
1622.43,501.59,713.27
1646.35,125.42,654.78
1670.27,0.00,568.31
1692.11,137.36,495.34
1716.03,376.25,460.41
1739.95,627.09,466.23
1763.87,1128.95,526.00
1788.83,480.69,566.39
1812.75,1003.51,591.75
1837.71,1081.73,657.16
1862.68,841.08,701.19
1886.59,878.22,723.98
1910.51,501.59,718.73
1934.43,376.25,677.70
1958.35,125.42,615.28
1982.27,125.42,543.71
2006.19,250.84,491.72
2030.11,501.67,474.71
2054.03,752.51,496.71
2077.95,1003.34,552.01
2102.91,721.15,596.96
2126.83,877.93,626.22
2150.75,1128.95,680.89
2175.71,961.54,733.67
2199.63,626.99,742.20
2223.55,250.84,697.74
2247.47,125.44,623.27
2271.39,0.00,541.40
2293.23,137.34,472.35
2317.15,376.25,440.78
2341.07,878.07,467.74
2364.99,1003.18,536.41
2389.95,841.48,592.38
2413.87,1128.76,649.33
2438.83,961.54,706.70
2462.75,627.09,719.17
2486.67,627.09,705.48
2510.59,501.67,684.65
2534.51,125.40,630.34
2558.43,125.44,556.57
2582.35,125.42,493.58
2606.27,376.19,458.03
2630.19,752.63,473.34
2654.11,752.38,513.80
2678.03,752.63,548.35
2701.95,877.93,586.99
2725.87,752.51,619.99
2749.79,1003.34,657.30
2774.75,841.35,695.62
2798.67,752.51,710.10
2822.59,501.59,697.72
2846.51,376.32,659.76
2870.43,250.84,609.10
2894.35,250.79,556.69
2918.27,376.32,521.06
2942.19,376.25,499.78
2966.11,752.38,508.97
2990.03,878.07,553.36
3013.95,1003.34,609.54
3038.91,1081.73,672.34
3063.87,961.54,722.93
3087.79,752.51,742.16
3111.71,501.59,725.10
3135.63,376.32,683.15
3159.55,125.42,619.94
3183.47,0.00,538.56
3205.31,137.36,469.93
3229.23,376.25,438.71
3253.15,752.38,456.82
3277.07,1128.95,527.09
3302.03,721.15,584.82
3325.96,752.01,606.68
3349.87,1004.02,645.95
3374.83,841.35,685.98
3398.75,752.51,701.86
3422.67,501.59,690.69
3446.59,376.25,653.75
3470.51,376.32,613.09
3494.43,125.42,560.11
3518.35,376.25,514.85
3542.27,376.19,494.46
3566.19,627.20,495.32
3590.11,877.93,532.57
3614.03,1128.76,600.91
3638.99,841.35,656.60
3662.91,1003.34,695.03
3687.87,841.21,727.84
3711.79,627.20,728.47
3735.71,376.25,695.17
3759.63,125.42,630.19
3783.55,0.00,547.32
3805.39,137.36,477.41
3829.31,752.63,472.50
3853.23,752.51,513.09
3877.15,1003.34,566.00
3902.11,721.04,608.90
3926.04,626.99,618.14
3949.95,878.22,637.47
3973.87,752.38,663.11
3997.79,627.09,666.72
4021.71,627.09,660.68
4045.63,250.84,628.14
4069.55,376.32,582.08
4093.47,125.42,533.63
4117.39,376.19,492.23
4141.31,627.20,493.41
4165.23,1003.18,540.07
4190.19,961.69,604.26
4214.11,877.93,649.96
4238.03,877.93,682.89
4261.95,752.51,701.89
4285.87,627.09,699.85
4309.79,501.67,679.84
4333.71,125.40,626.24
4357.63,376.32,571.33
4381.55,125.42,524.44
4405.47,376.25,484.40
4429.39,627.09,486.72
4453.31,752.38,516.08
4477.23,1003.51,568.56
4502.19,1081.73,637.36
4527.15,721.15,675.55
4551.07,877.93,693.34
4574.99,752.51,710.80
4598.91,627.09,707.46
4622.83,250.84,668.09
4646.75,125.42,597.94
4670.67,125.42,528.90
4694.59,250.84,479.07
4718.51,501.67,463.91
4742.43,877.93,496.61
4766.35,752.51,542.80
4790.28,752.01,573.08
4814.19,878.51,608.11
4838.11,1128.76,665.46
4863.07,961.54,720.48
4886.99,627.09,730.94
4910.91,501.67,706.40
4934.83,250.84,658.04
4958.75,0.00,580.23
4980.59,0.00,495.52
5002.43,274.73,443.17
5026.35,752.38,453.24
5050.27,878.07,505.77
5074.19,877.93,559.76
5098.11,752.51,596.73
5122.03,877.93,628.30
5145.95,877.93,664.40
5169.87,752.51,686.09
5193.79,627.09,686.36
5217.71,501.67,668.32
5241.63,250.84,625.53
5265.55,376.25,579.85
5289.47,250.84,540.85
5313.39,376.25,507.54
