Time (milliseconds),Filtered Speed (RPM),Steady-state average speed
0.42,0,600.018
6.27,0,600.018
22.91,13.13,600.018
43.71,66.34,600.018
64.52,161.62,600.018
86.35,261.01,600.018
108.19,352.92,600.018
131.09,428.62,600.018
153.95,480.59,600.018
176.83,515.47,600.018
199.71,535.67,600.018
222.59,552.91,600.018
245.47,577.19,600.018
268.35,597.93,600.018
291.23,596.54,600.018
314.11,595.35,600.018
336.99,603.88,600.018
359.87,611.17,600.018
382.75,626.94,600.018
405.63,630.86,600.018
428.51,615.12,600.018
451.39,601.67,600.018
474.27,609.28,600.018
497.15,634.87,600.018
520.03,656.73,600.018
542.91,646.75,600.018
565.79,609.6,600.018
588.67,587.42,600.018
611.55,606.65,600.018
634.43,651.73,600.018
657.31,671.14,600.018
680.19,639.96,600.018
703.07,594.25,600.018
725.95,583.86,600.018
748.83,603.62,600.018
771.71,639.58,600.018
794.59,651.21,600.018
817.47,622.94,600.018
840.35,589.27,600.018
863.24,589.11,600.018
886.11,617.65,600.018
908.99,642.05,600.018
931.87,643.76,600.018
954.75,616.59,600.018
977.63,583.84,600.018
1000.51,584.52,600.018
1024.43,611.24,600.018
1048.35,631.55,600.018
1072.27,639.78,600.018
1096.19,628.55,600.018
1120.11,591.56,600.018
1144.03,559.98,600.018
1167.95,578.65,600.018
1191.87,622.01,600.018
1215.79,640.76,600.018
1239.71,620.25,600.018
1263.64,584.47,600.018
1287.55,572.18,600.018
1311.47,598.23,600.018
1335.39,629.58,600.018
1359.31,647.23,600.018
1383.23,634.91,600.018
1407.15,596.99,600.018
1431.07,564.61,600.018
1454.99,573.5,600.018
1478.91,617.59,600.018
1502.83,646.11,600.018
1526.75,633.95,600.018
1550.67,587.05,600.018
1574.59,556.12,600.018
1598.51,575.36,600.018
1622.43,610.05,600.018
1646.35,621.42,600.018
1670.27,612.87,600.018
1694.19,596.44,600.018
1718.11,582.4,600.018
1742.03,579.54,600.018
1765.95,604.49,600.018
1789.87,634.94,600.018
1813.79,624.42,600.018
1837.71,588.03,600.018
1861.65,566.06,600.018
1885.55,583.87,600.018
1909.47,626.51,600.018
1933.39,644.6,600.018
1957.31,623.53,600.018
1981.23,578.15,600.018
2005.15,557.65,600.018
2029.07,576.67,600.018
2052.99,611.17,600.018
2076.91,640.64,600.018
2100.83,629.28,600.018
2124.75,592.19,600.018
2148.67,569.65,600.018
2172.59,586.91,600.018
2196.51,629.05,600.018
2220.43,637.64,600.018
2244.35,608.45,600.018
2268.27,574.4,600.018
2292.19,563.58,600.018
2316.11,590.87,600.018
2340.03,623.3,600.018
2363.95,632.72,600.018
2387.87,622.52,600.018
2411.79,586.41,600.018
2435.71,555.58,600.018
2459.63,574.91,600.018
2483.55,609.67,600.018
2507.47,630.22,600.018
2531.39,629.52,600.018
2555.31,592.4,600.018
2579.23,560.68,600.018
2603.15,579.26,600.018
2627.07,613.39,600.018
2650.99,633.4,600.018
2674.91,623.1,600.018
2698.83,586.91,600.018
2722.75,565.13,600.018
2746.67,583.06,600.018
2770.59,625.76,600.018
2794.51,643.95,600.018
2818.43,622.98,600.018
2842.35,577.68,600.018
2866.27,548.13,600.018
2890.19,568.53,600.018
2914.11,622.48,600.018
2939.07,648.41,600.018
2962.99,606.62,600.018
2986.91,554.58,600.018
3010.83,546.66,600.018
3034.75,576.4,600.018
3058.67,629.2,600.018
3083.63,645.39,600.018
3107.55,595.29,600.018
3131.47,544.9,600.018
3155.39,547.52,600.018
3179.31,586.27,600.018
3203.23,619.37,600.018
3227.15,620.26,600.018
3251.07,593.61,600.018
3274.99,570.85,600.018
3298.91,587.95,600.018
3322.83,620.82,600.018
3346.75,639.74,600.018
3370.67,628.51,600.018
3394.59,591.53,600.018
3418.51,569.08,600.018
3442.43,595.56,600.018
3467.39,634.15,600.018
3491.31,639.72,600.018
3515.23,619.36,600.018
3539.15,583.71,600.018
3563.07,571.53,600.018
3586.99,597.66,600.018
3610.91,629.11,600.018
3634.83,637.7,600.018
3658.76,617.62,600.018
3682.67,582.23,600.018
3706.59,561.15,600.018
3730.51,579.65,600.018
3754.43,622.86,600.018
3778.35,641.49,600.018
3802.27,620.87,600.018
3826.19,575.88,600.018
3850.11,555.72,600.018
3874.03,584.15,600.018
3897.95,626.68,600.018
3921.87,644.74,600.018
3945.79,614.52,600.018
3969.71,570.45,600.018
3993.63,560.22,600.018
4017.55,588,600.018
4041.47,620.84,600.018
4065.39,630.63,600.018
4089.31,611.61,600.018
4113.23,577.09,600.018
4137.15,575.01,600.018
4161.07,600.62,600.018
4184.99,622.48,600.018
4208.91,622.91,600.018
4232.83,595.88,600.018
4256.75,572.8,600.018
4280.67,580.47,600.018
4304.59,614.42,600.018
4328.51,643.41,600.018
4352.43,631.65,600.018
4376.35,585.08,600.018
4400.27,554.44,600.018
4424.19,573.93,600.018
4448.11,608.83,600.018
4472.03,620.38,600.018
4495.95,611.98,600.018
4519.87,586.54,600.018
4543.79,573.95,600.018
4567.71,590.59,600.018
4591.64,613.91,600.018
4615.55,624.71,600.018
4639.47,606.56,600.018
4663.39,572.79,600.018
4687.31,562.2,600.018
4711.23,589.69,600.018
4735.15,631.42,600.018
4759.07,648.8,600.018
4782.99,617.98,600.018
4806.91,564.28,600.018
4830.83,545.81,600.018
4854.75,584.8,600.018
4879.71,633.71,600.018
