Time (milliseconds),Filtered Speed (RPM)
0.42,0
6.27,0
22.91,39.38
43.71,136.01
65.56,259.12
88.43,339.46
110.27,378.09
133.15,401.53
156.03,390.63
178.91,400.42
201.79,399.23
224.67,407.76
247.55,434.14
270.43,447.12
293.31,496.38
316.19,567.09
340.11,642.83
364.03,695.07
386.91,705.23
409.79,649.99
430.59,565.59
453.47,493.52
474.27,431.96
497.15,398.49
520.03,407.13
542.91,462.23
565.79,537.93
589.71,608.81
613.63,647.75
636.51,646.14
659.39,609.07
682.27,548.78
705.15,478.21
725.95,408.39
746.75,369.76
769.63,384.51
792.51,442.92
815.39,530.97
839.31,621.54
863.25,676.83
886.11,680.08
908.99,628.55
931.87,546.33
952.67,466.56
973.47,408.94
996.37,378.81
1019.23,390.35
1043.15,463.3
1068.11,565.35
1093.07,649.07
1118.03,685.55
1141.95,665.34
1165.87,595.59
1187.71,518.64
1211.63,452.91
1233.47,396.79
1257.39,376.25
1281.31,412.62
1305.23,498.48
1330.2,595.35
1355.15,657.15
1379.07,668.13
1402.99,643.63
1426.91,577.05
1448.75,492.8
1470.59,420.85
1492.43,379.41
1516.35,389.67
1540.27,451.48
1565.23,537.36
1590.19,616.4
1615.15,666.42
1639.07,666.89
1663,615.17
1686.91,534.48
1708.75,456.45
1730.59,399.81
1754.51,387.96
1778.43,431.75
1802.35,514.82
1827.31,591.83
1851.23,648.45
1876.19,670.57
1900.11,643.81
1924.03,577.21
1945.87,492.93
1967.71,420.97
1989.55,379.5
2013.47,389.75
2037.4,460.66
2062.36,554.31
2087.31,622.14
2111.23,665.23
2135.15,668.55
2159.07,616.59
2182.99,535.7
2204.83,457.49
2226.67,400.7
2250.59,388.72
2274.51,432.4
2298.43,506.22
2323.39,584.11
2348.35,638.83
2372.27,661.6
2396.19,647.19
2420.11,580.09
2441.95,495.4
2463.79,423.07
2485.63,381.3
2509.55,391.28
2533.47,452.85
2558.43,538.52
2583.39,608.63
2607.31,653.68
2631.23,667.82
2655.15,634.24
2679.07,559.9
2700.91,478.15
2722.75,418.34
2746.67,385.52
2770.59,402.28
2794.51,471.37
2819.47,554.36
2844.43,630.94
2869.39,670.07
2893.31,661.26
2917.23,601.24
2939.07,513.46
2960.91,448.49
2984.83,411.27
3008.75,415.15
3032.67,464.11
3056.59,524.16
3080.51,584.59
3105.47,624.79
3129.39,631.72
3153.31,603.41
3177.23,542.71
3201.15,472.6
3222.99,413.6
3246.91,390.6
3270.83,424.88
3294.75,490.68
3318.67,565.13
3343.63,626.06
3367.55,650.68
3391.47,637.85
3415.39,590.38
3439.31,522.44
3461.15,446.17
3482.99,391.03
3506.91,380.45
3530.83,416.21
3554.75,483.27
3579.71,573.26
3604.67,647.08
3628.59,677.39
3652.51,660.66
3676.43,591.6
3698.27,505.22
3720.11,431.46
3741.95,388.47
3765.87,406.54
3789.79,475.01
3814.75,548.7
3838.67,611.64
3863.63,647.87
3887.55,642.3
3911.47,603.31
3935.39,533.49
3957.23,455.6
3979.07,399.08
4002.99,387.34
4026.91,431.22
4050.83,505.23
4075.79,583.26
4100.75,646.85
4124.68,668.04
4148.59,634.4
4172.51,569.18
4196.43,495.21
4218.27,422.91
4240.11,371.16
4264.03,372.63
4287.95,436.92
4312.91,533.67
4337.87,622.01
4362.83,679.94
4386.75,687.19
4410.67,632.52
4434.59,549.3
4456.43,469.1
4478.27,410.61
4502.19,378.92
4526.11,396.64
4550.03,475.69
4574.99,567.16
4599.95,641.86
4624.91,679.4
4648.83,660.09
4672.75,591.1
4694.59,504.8
4716.43,431.1
4738.27,398.16
4762.19,415.68
4786.11,464.55
4810.03,533.68
4834.99,598.82
4858.91,645.3
4882.83,651.52
4906.75,611.18
4930.67,540.21
4952.51,461.34
4974.35,403.99
4998.27,391.53
5022.19,434.8
5046.11,508.27
5071.07,577.11
5094.99,626.76
5118.91,644.82
5142.83,623.72
5166.75,569.18
5190.68,495.21
5212.51,432.91
5236.43,397.97
5260.35,403.78
5284.27,454.39
5308.19,525
5333.15,600.14
5358.11,643.78
5382.03,647.94
5405.95,617.26
5429.87,545.4
5451.71,465.77
5473.55,407.77
5497.47,394.76
5521.39,428.43
5545.31,493.7
5570.27,573.41
5595.23,629.7
5619.15,653.79
5643.07,640.51
5666.99,583.52
5690.91,507.45
5712.75,433.37
5734.59,390.09
5758.51,398.79
5782.43,459.26
5807.39,544.01
5832.35,613.33
5856.27,648.56
5880.19,654.3
5904.11,622.69
5928.03,550.04
5949.87,469.74
5971.71,401.15
5993.55,372.59
6017.47,402.97
6041.39,471.96
6066.35,554.85
6091.31,622.59
6115.23,656.48
6139.15,651.93
6163.07,611.53
6186.99,540.51
6208.83,461.6
6230.67,404.2
6254.6,382.56
